id_descuento,ROP,Incremento Demanda Total (kg),Margen por kg utilizado ($/kg),Margen incremental bruto ($),Costo Promoción ($),Contribución neta del descuento ($)
104,-703.6768053018691,-1873.3333333333335,1277.1358388041037,-2392501.138026355,3400.0,-2395901.138026355
416,-53.73263598748784,-727.6,1293.8222044716736,-941385.0359735896,17519.800000000003,-958904.8359735897
421,-9.579907896912228,-3994.8010000000013,2238.843008697451,-8943732.289987583,933592.7220000001,-9877325.011987582
621,-25.62178052412754,-17.29953917050691,3674.5277925514683,-63567.63748036043,2481.0,-66048.63748036043
623,,-45.391304347826086,3674.5277925514683,-166791.60936624923,0.0,-166791.60936624923
624,-31.210802483655826,-180.7826086956522,3674.5277925514683,-664290.7200621306,21284.0,-685574.7200621306
709,,,,,0.0,
714,-286.4319728550134,-1052.544230769231,3343.0309048053027,-3518687.892136064,12284.550000000032,-3530972.4421360637
826,3.954845325025244,2389.3791054687504,4151.865196324961,9920379.948821774,2508411.615,7411968.3338217735
833,,-34.8694716981132,4151.865196324961,-144773.34595763445,0.0,-144773.34595763445
834,4.452866776344017,1179.0542641509433,4151.865196324961,4895274.363906839,1099353.4300000002,3795920.9339068388
835,8.833180126965347,2896.1433018867924,4151.865196324961,12024396.578673434,1361276.0530000008,10663120.525673432
847,3.9428166686062007,3908.498827586207,4094.3451865119987,16002743.361215375,4058708.4580000015,11944034.903215375
854,,-36.34515763546798,4094.3451865119987,-148809.62121779812,0.0,-148809.62121779812
855,4.342972717095391,1206.1927438423643,4094.3451865119987,4938569.454756686,1137140.3360000001,3801429.1187566863
856,7.616915333185016,2376.4733940886704,4094.3451865119987,9730102.401960779,1277433.4460000007,8452668.955960779
868,4.908441616956207,2897.4230860655734,4255.692564488692,12330541.883547142,2512109.31,9818432.573547142
875,,-23.149601063829788,4255.692564488692,-98517.58511821995,0.0,-98517.58511821995
876,5.311977506344519,1146.2597712765955,4255.692564488692,4878129.1855943175,918326.4010000001,3959802.7845943174
877,10.958538982957311,2848.8834946808515,4255.692564488692,12123972.305407861,1106349.3340000003,11017622.97140786
941,-2.168382317616731,-502.51062670299734,6364.147346322904,-3198051.671430941,1474856.0,-4672907.671430942
942,0.17429338414241904,59.185831062670104,6364.147346322904,376667.34969740734,2161111.0,-1784443.6503025927
944,2.1868042750146013,87.69315068493151,6364.147346322904,558092.1322222013,255209.0,302883.1322222013
945,14.857830252385865,87.56438356164384,6364.147346322904,557272.6392762366,37507.0,519765.63927623664
946,3.875874218370881,190.25753424657535,6364.147346322904,1210826.9816932816,312401.0,898425.9816932816
947,10.081677731701722,3856.519178082192,6364.147346322904,24543456.29323517,2434461.5,22108994.79323517
1033,-57.10305617602495,-67.59615384615384,5168.711965597852,-349385.04921300866,6118.5,-355503.54921300866
1038,,-3640720.0,-66545.1483943706,242272252662.3529,0.0,242272252662.3529
1072,,-3640720.0,8424.300177057983,-30670518140.61854,0.0,-30670518140.61854
1249,-110.03688107707663,-552.4324324324325,3063.6819427750033,-1692477.2678465156,15381.0,-1707858.2678465156
1256,-165.79284420325862,-1260.433870967742,4824.916964316031,-6081488.766430781,36681.25000000001,-6118170.016430781
1260,-1.4459727314287378,-21.96363636363637,3112.474259359773,-68361.25282375644,47277.0,-115638.25282375644
1261,-23.167881135425354,-160.98181818181817,3112.474259359773,-501051.76531584415,21627.0,-522678.76531584415
1264,1.4191639615756069,43.38095238095238,3112.474259359773,135022.0976322264,95142.0,39880.09763222639
1266,-0.8636493568762081,-29.61904761904762,3112.474259359773,-92188.52330103709,106743.0,-198931.5233010371
1275,-3.7535061155028613,-33.51086956521739,2642.0592303692174,-88537.7022524815,23588.0,-112125.7022524815
1276,-31.004278009769816,-138.41304347826087,2642.0592303692174,-365695.459125235,11795.0,-377490.459125235
1279,-0.09988742408896716,-1.7872340425531945,2642.0592303692174,-4721.978198957744,47273.0,-51994.978198957746
1281,-2.170254213794594,-58.212765957446805,2642.0592303692174,-153801.57562319527,70868.0,-224669.57562319527
1290,-4.3801208867092845,-38.384905660377356,3376.5297792958945,-129607.77703772773,29590.0,-159197.77703772773
1291,-13.62985207801224,-142.85283018867926,3376.5297792958945,-482346.83518877515,35389.0,-517735.83518877515
1294,0.8906613638115298,31.68421052631578,3376.5297792958945,106982.68037558571,120116.0,-13133.31962441429
1296,-6.698877198073944,-156.21052631578948,3376.5297792958945,-527449.4939447482,78737.0,-606186.4939447482
1305,-1.1022044989354736,-511.0684691011238,3166.7937405068888,-1618448.428919877,1468374.0,-3086822.428919877
1306,-13.120326671028348,-4205.179073033708,3166.7937405068888,-13316934.766193708,1014985.0,-14331919.766193708
1308,2.7986862737563407,677.4675925925926,3166.7937405068888,2145400.1316184932,766574.0,1378826.1316184932
1310,1.6453876531492297,277.4537037037037,3166.7937405068888,878638.6521693418,534001.0,344637.6521693418
1319,-0.7063313640229437,-220.8079353932585,2871.492079417587,-634048.2375542917,897664.0,-1531712.2375542917
1320,-11.841840114793536,-2375.113061797753,2871.492079417587,-6820118.3446735,575934.0,-7396052.3446735
1322,2.4422888324241203,369.14427860696514,2871.492079417587,1059994.8721822195,434017.0,625977.8721822195
1324,1.1724993649535964,126.06965174129354,2871.492079417587,362008.0064300579,308749.0,53259.006430057925
1333,-0.5264061240130491,-256.54999999999995,3404.1332886415184,-873330.3952009811,1659043.0,-2532373.395200981
1334,-11.842090811586798,-3929.8999999999996,3404.1332886415184,-13377903.411032302,1129691.0,-14507594.411032302
1336,3.064748572454975,628.1111111111111,3404.1332886415184,2138173.942298945,697667.0,1440506.942298945
1338,1.9376692462958893,269.44444444444446,3404.1332886415184,917224.8027728536,473365.0,443859.80277285364
